nameOrig,count_amount,mean_amount,mean_balance_change
C1000036340,1,253648.68,-253648.68
C1000086512,1,33676.59,-33676.59
C1000331499,1,2016790.84,-2016790.84
C1000484178,1,3018810.85,-3018810.85
C1000513158,1,40388.58,-40388.58
C1000937208,1,1534985.07,-1534985.07
C1001502110,1,484493.06,-484493.06
C1001765380,1,277048.48,-277048.48
C1001875185,1,3288377.47,-3288377.47
C1002446735,1,828720.89,-828720.89
C1002859898,1,487276.8,-487276.8
C1002895272,1,4241.44,-4241.44
C1003023037,1,158489.29,-158489.29
C1003377863,1,797235.09,-797235.09
C1003695704,1,6515.64,-6515.64
C1003741197,1,627903.12,-627903.12
C1004068843,1,10000000.0,-10000000.0
C1004271827,1,25975.86,-25975.86
C1004336210,1,226804.13,-226804.13
C1005007866,1,295205.08,-295205.08
C1005458940,1,377919.58,-377919.58
C1005866728,1,145379.14,-145379.14
C1006058561,1,348983.86,-348983.86
C1006070662,1,334276.08,-334276.08
C1007207376,1,615398.61,-615398.61
C1007340530,1,45271.85,-45271.85
C1008040846,1,163294.35,-163294.35
C1008719694,1,665489.33,-665489.33
C1009032350,1,1027963.96,-1027963.96
C1009233877,1,46081.45,-46081.45
C1010063091,1,61846.05,-61846.05
C1010536295,1,272776.59,-272776.59
C1010973952,1,533269.77,-533269.77
C1011158272,1,3206623.39,-3206623.39
C1011490419,1,3606943.31,-3606943.31
C1011516202,1,429257.45,-429257.45
C1011665365,1,122090.79,-122090.79
C1011829657,1,87219.11,-87219.11
C1012053866,1,449032.97,-449032.97
C1012201968,1,2708906.59,-2708906.59
C1012366293,1,49950.63,-49950.63
C1012580160,1,128473.62,-128473.62
C1012580220,1,20920.39,-20920.39
C1012799951,1,3011102.29,-3011102.29
C1013069669,1,147186.94,-147186.94
C1013101723,1,154196.49,-154196.49
C1013220847,1,134227.05,-134227.05
C1013288403,1,3642569.29,-3642569.29
C1013385845,1,262960.23,-262960.23
C1013419575,1,207261.07,-207261.07
C101371414,1,799123.57,-799123.57
C1014000122,1,380214.33,-380214.33
C1014077257,1,365332.78,-365332.78
C1014298205,1,10000000.0,-10000000.0
C1014449898,1,122816.67,-122816.67
C1014484059,1,150205.64,-150205.64
C101455775,1,931684.75,-931684.75
C1014836767,1,2934820.94,-2934820.94
C1015599837,1,2392482.86,-2392482.86
C1015615322,1,2395.29,-2395.29
C1015856166,1,2600970.32,-2600970.32
C1015989725,1,2075328.73,-2075328.73
C1016160383,1,2052851.64,-2052851.64
C1016323653,1,1027152.36,-1027152.36
C1016521533,1,7169129.94,-7169129.94
C1016616731,1,1685692.11,-1685692.11
C1016626170,1,210.92,-210.92
C101677237,1,1669143.57,-1669143.57
C1016889565,1,456745.18,-456745.18
C1016892734,1,10000000.0,-10000000.0
C1017446599,1,91882.6,-91882.6
C1018357975,1,128572.96,-128572.96
C1018686396,1,32076.17,-32076.17
C1018733794,1,188473.09,-188473.09
C101899927,1,1448630.38,-1448630.38
C1019069883,1,542393.87,-542393.87
C1019233817,1,261742.96,-261742.96
C1019329213,1,351268.75,-351268.75
C1019433665,1,2656973.04,-2656973.04
C1019553772,1,19692.68,-19692.68
C1019916893,1,125216.91,-125216.91
C1019966301,1,251832.96,-251832.96
C1020268899,1,95235.46,-95235.46
C1020461364,1,59835.0,-59835.0
C1020546526,1,619836.33,-619836.33
C1020706862,1,1021194.38,-1021194.38
C1020800306,1,1387048.31,-1387048.31
C1020850249,1,13890.42,-13890.42
C1021093618,1,614145.31,-614145.31
C1021314422,1,581421.85,-581421.85
C1021520214,1,4129482.96,-4129482.96
C1021627549,1,26478.48,-26478.48
C1021806883,1,1503034.86,-1503034.86
C1022326247,1,337287.72,-337287.72
C1022427332,1,23031.26,-23031.26
C1022475357,1,74436.56,-74436.56
C1022498421,1,3206623.39,-3206623.39
C1022920965,1,89571.46,-4505.6
C1023266164,1,157272.13,-157272.13
C1023402674,1,468599.79,-468599.79
C1023505879,1,441445.58,-441445.58
C1023551084,1,7454553.06,-7454553.06
C1023699777,1,601657.23,-601657.23
C1023831762,1,210525.95,-210525.95
C1024321064,1,2068313.94,-2068313.94
C1024427567,1,1438737.78,-1438737.78
C1024969195,1,1372301.24,-1372301.24
C1025024603,1,1828.6,-1828.6
C1025414577,1,379057.93,-379057.93
C1025625307,1,6174385.48,-6174385.48
C1025875217,1,434401.5,-434401.5
C1025957103,1,948288.3,-948288.3
C1026095459,1,248242.32,-248242.32
C1026137221,1,82764.07,-82764.07
C102617052,1,21922.0,-21922.0
C1026263737,1,6501296.36,-6501296.36
C1026280121,1,1078013.76,0.0
C1026774960,1,1936403.59,-1936403.59
C1027432342,1,265747.73,-265747.73
C1027606228,1,208868.36,-208868.36
C1027828118,1,3138.25,-3138.25
C1027836426,1,3912252.81,-3912252.81
C1027885522,1,886592.76,-886592.76
C1028321067,1,85017.99,-85017.99
C1028433606,1,1303029.52,-1303029.52
C1028530067,1,10000000.0,-10000000.0
C1028599135,1,43235.71,-43235.71
C1028741158,1,71216.62,-71216.62
C1029198062,1,491517.77,-491517.77
C1029257629,1,1749325.14,-1749325.14
C1029506944,1,1576874.04,-1576874.04
C1029645120,1,219489.62,-219489.62
C10297666,1,555731.98,-555731.98
C1029932653,1,37766.23,-37766.23
C103076793,1,37019.04,-37019.04
C103081762,1,307455.42,-307455.42
C1031966846,1,203280.85,-203280.85
C1032013375,1,1467968.73,-1467968.73
C1032127043,1,511379.9,-511379.9
C1032151084,1,106654.67,-106654.67
C103236252,1,3284197.88,-3284197.88
C1032400193,1,21367.0,-21367.0
C1032527042,1,17051.69,-17051.69
C1032891419,1,22140.87,-22140.87
C1032918138,1,1842.0,-1842.0
C1033091830,1,615954.92,-615954.92
C1033117475,1,1123561.68,-1123561.68
C1033290326,1,6501303.14,-6501303.14
C1033789899,1,255286.59,-255286.59
C1034067842,1,953615.38,-953615.38
C1034219836,1,1154353.99,-1154353.99
C1034306839,1,177217.55,-177217.55
C1034326935,1,222213.27,-222213.27
C1034418491,1,1318024.48,-1318024.48
C1034673425,1,17246.0,-17246.0
C1034868972,1,117345.35,-117345.35
C1035275557,1,308778.37,-308778.37
C1035541766,1,536624.41,0.0
C103568596,1,699183.61,-699183.61
C1036084713,1,11070.29,-11070.29
C1036572575,1,10000000.0,-10000000.0
C1036579486,1,3523089.46,-3523089.46
C1036592129,1,136983.26,-136983.26
C1036650085,1,261331.82,-261331.82
C1037004570,1,2254417.02,-2254417.02
C103717157,1,6262505.91,-6262505.91
C1037819437,1,1090527.71,-1090527.71
C103861454,1,43996.54,-43996.54
C1038719684,1,458845.55,-458845.55
C1038764620,1,127091.33,-127091.33
C1039450195,1,1336901.11,-1336901.11
C1039668554,1,7670038.08,-7670038.08
C1039891737,1,990857.53,-990857.53
C1039970092,1,1685692.11,-1685692.11
C1039979813,1,1819543.69,-1819543.69
C1040108506,1,1152538.9,-1152538.9
C1040320190,1,9749042.95,-9749042.95
C1041060645,1,10000000.0,-10000000.0
C1041263133,1,206985.26,-206985.26
C104137128,1,136245.39,-136245.39
C1041938819,1,9960382.4,-9960382.4
C1042329949,1,570135.07,-570135.07
C1042347270,1,98634.75,-98634.75
C1042499011,1,279826.54,-279826.54
